,Country Code,"GNI per capita, Atlas method (current US$)","Labor force, female (% of total labor force)","Life expectancy at birth, total (years)",Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty line (% of population),"Public spending on education, total (% of GDP)",Rural population (% of total population),"School enrollment, primary (% net)",Urban population (% of total population),2010 Total:,2011 Total:,2012 Total:,2013 Total:,2014 Total:,2015 Total:,2016 Total:,2017 Total:,2018 Total:,2019 Total:
94,KWT,33710,25.5891862170544,75.398,1.98243711082377,4137314,..,6.38917016983032,0,82.63321,100,66.5074,65.2794,65.70146,65.5682,61.95748,66.17386,64.36795,65.62618,66.04878,64.07714
95,LAO,2490,49.21000555417056,67.61,1.54795306869369,7061498,18.3,2.36999988555908,64.99600000000001,91.46712,35.004,22.85893,20.19389,21.7454,22.53763,20.14811,20.54602,23.09439,19.68483,19.68081,21.15498
96,LBN,7590,24.854309292318185,78.875,0.585360849269362,6859408,..,2.52447009086609,11.406999999999996,..,88.593,24.23999,23.33959,23.97292,23.89735,23.82028,24.49356,24.11258,23.53088,24.0801,24.234
97,LBR,630,47.203445330753496,63.73,2.45258690738409,4818976,..,2.50391006469727,48.849,..,51.151,32.84865,33.43698,35.50188,33.1627,34.65888,37.68039,35.72049,35.98,35.67585,35.79581
98,LBY,11180,35.63900976469591,72.724,1.47585263915873,6678565,..,..,19.897999999999996,..,80.102,31.19201,28.60137,28.5302,30.871,29.98407,29.0747,30.06973,28.41691,30.40843,29.83557
99,LCA,10720,46.84336796627828,76.057,0.515372718122712,181890,..,3.33566999435425,81.322,95.39814,18.678,8.42728,8.33712,8.81156,8.55295,9.10296,9.61662,9.56065,10.02694,9.50754,8.97661
100,LKA,4040,33.87889367805776,76.812,1.04839295829763,21670000,..,2.13539004325867,81.524,99.10711,18.476,24.99107,23.20591,24.60746,25.47886,22.65567,23.08327,25.46074,22.98816,23.12285,23.87759
101,LSO,1230,45.31044468413512,53.705,0.799793018141496,2108327,..,7.28535985946655,71.84700000000001,..,28.153,18.42596,17.74356,17.54277,17.75434,17.95129,17.6502,17.42253,17.75258,17.79953,17.59755
102,LTU,17470,50.22378170297569,75.68048780487806,-0.954190459209969,2801543,20.6,3.89293003082275,32.321,..,67.679,13.87189,12.76746,12.194,12.64978,12.91686,11.43758,10.30377,9.90997,11.11935,10.36907
103,LUX,79540,46.285369079301844,82.29512195121951,1.92883751398765,607950,..,3.64749002456665,9.019000000000005,..,90.981,12.37609,12.6349,11.32265,11.02887,10.26854,10.44694,9.74615,9.83734,9.70775,8.89471
104,LVA,16550,50.011360711643015,74.7829268292683,-0.779138396192231,1927174,22.9,4.24356985092163,31.858000000000004,..,68.142,16.47888,15.06489,14.35427,15.05586,15.38506,13.39956,12.14769,11.45575,12.84245,12.02183
105,MAR,3090,26.042878420269787,76.453,1.25076295051273,36029089,..,5.34884786605835,37.547,99.09904,62.453,13.1705,13.27892,13.23921,12.87496,13.25827,13.48392,13.55217,13.91456,13.58116,13.44048
106,MCO,..,..,..,0.752527100059372,38682,..,..,0,..,100,11.90929,12.36992,11.15613,10.76834,9.97134,10.41417,9.52814,9.62937,9.87806,9.21092
107,MDA,3920,48.532327157683206,71.808,-1.71854141941543,2708214,..,5.43973016738892,57.371,86.31417,42.629,16.83486,15.67313,14.84957,15.10139,15.64055,13.60586,12.51156,11.98123,13.29578,12.36523
108,MDG,500,49.074767203570566,66.681,2.66951722668417,26262313,..,2.84409999847412,62.809,95.60378,37.191,16.50359,16.52913,16.17388,16.54685,16.23716,16.41895,16.52351,15.8643,16.14007,16.02251
109,MDV,9210,22.145178307659844,78.627,3.81549331609073,515704,..,3.91248989105225,60.192,..,39.808,13.38913,12.37565,13.26983,13.66561,12.0814,12.22996,13.66199,12.51763,12.46575,13.00334
110,MEX,9180,37.71694562491612,74.992,1.12641479134149,126190782,41.9,4.2542200088501,19.843999999999994,..,80.156,22.13361,23.52526,22.2395,23.18825,21.56012,21.79878,21.20562,20.43847,18.75159,17.82781
111,MHL,4840,..,..,0.616496178310496,58412,..,15.1999998092651,22.968999999999994,..,77.031,7.2692,7.07336,7.1185,7.2102,6.97074,7.10208,7.2666,7.14984,7.14241,7.21485
112,MKD,5500,39.22582223327988,76.64878048780488,0.0826362901268217,2076217,21.6,..,42.037,..,57.963,34.53379,36.51749,33.87751,30.87741,30.38281,29.51055,28.22692,29.25548,30.05632,25.16804
113,MLI,830,42.59209434976733,58.893,3.00806522834665,19077755,43.8,3.90556502342224,57.644,58.94142,42.356,39.03671,38.28989,39.78941,36.20615,38.38143,40.77241,40.08283,40.3369,39.82185,38.54882
114,MLT,27950,41.53832593471049,82.4487804878049,3.49195540302534,484630,17.1,..,5.388000000000005,..,94.612,17.17263,16.46377,14.39201,14.31433,13.8986,13.853,13.26847,12.60381,13.79236,12.93003
115,MMR,1220,41.087066432632504,66.867,0.608451681137062,53708318,..,2.15748000144959,69.42099999999999,97.93192,30.579,29.45053,26.63846,28.51278,29.31366,26.07728,26.52866,29.2509,25.92626,26.0426,27.16498
116,MNE,8450,43.94222707132508,76.84146341463416,-0.0234613531527775,622227,24.5,..,33.187,96.54847,66.813,26.08957,27.20885,26.83415,23.39572,23.25985,22.49954,21.48403,22.66356,23.34584,19.29617
117,MNG,3690,44.73482229896639,69.689,1.7959102043121,3170214,28.4,6.17301988601685,31.555000000000007,97.69756,68.445,45.20481,51.57723,52.19057,48.76769,47.14049,47.78887,47.50225,45.49607,44.03985,41.30377
118,MOZ,460,52.3300648386726,60.163,2.91361831836918,29496009,..,5.45218992233276,64.012,93.92934,35.988,16.64926,16.31307,16.46958,16.65098,16.6766,16.68126,16.42798,16.25737,16.6806,16.44818
119,MRT,1640,30.906298363662888,64.704,2.78008863129266,4403312,..,..,46.328,79.5744,53.672,38.90393,41.32036,42.27807,40.30183,40.80888,43.67907,42.42518,43.42366,42.58011,41.98461
120,MUS,12270,39.16574172838931,74.41634146341464,0.0545472669534157,1265303,..,4.83458995819092,59.207,94.80512,40.793,10.59822,10.54148,10.59407,10.63984,10.65525,10.75079,10.73204,10.35147,10.44866,10.48182
121,MWI,440,48.74629368128459,63.798,2.64174528787889,18143215,..,3.32295989990234,83.063,..,16.937,18.7213,18.84669,18.96952,18.72721,18.71457,18.80413,18.58392,18.47615,18.60764,18.56954
122,MYS,10650,38.538152689091106,75.997,1.35196001397349,31528033,5.6,4.47865009307861,23.964,..,76.036,22.67492,21.03622,22.27061,23.17544,20.80653,21.43982,22.88744,20.3758,20.49619,21.52164
123,NAM,4920,49.37205599707964,63.373,1.88328489392289,2448300,..,8.88112258911133,49.968,97.48892,50.032,11.93522,12.0992,12.16913,11.85483,11.9326,11.87753,11.90338,11.97733,11.88239,11.81074
124,NER,570,42.7480651481902,62.024,3.81673672075794,22442831,40.8,3.457279920578,83.575,..,16.425,49.54739,49.57459,49.83186,47.72282,48.79553,52.86639,52.51137,52.41127,50.74433,50.15037
125,NGA,1960,44.742421634410626,54.332,2.586551303075,195874685,40.1,..,49.656,..,50.344,52.84583,53.70578,54.53055,52.88635,53.95678,57.2825,57.1711,57.45214,56.52002,55.64206
126,NIC,1970,38.52855025595444,74.275,1.25537577858764,6465502,..,4.46999979019165,41.478,..,58.522,19.92137,20.95415,20.1217,21.2362,20.25059,20.60811,19.55939,18.43793,17.24307,16.00181
127,NLD,51320,46.43898638330569,81.81219512195123,0.583933408920832,17231624,13.2,5.35764980316162,8.510000000000005,..,91.49,15.01226,15.53418,13.74709,13.19624,12.48643,12.58504,11.59958,11.62645,11.48585,10.7416
128,NOR,80320,47.90515902972638,82.75853658536586,0.660090844249,5311916,12.7,7.64411020278931,17.751999999999995,..,82.248,7.86369,8.32307,7.32541,7.13364,6.61816,6.8203,6.32693,6.36199,6.33232,6.30111
129,NPL,1120,56.00204741999436,70.478,1.66177642022913,28095712,..,4.43445014953613,80.26,..,19.74,39.77933,39.48479,40.43541,41.79461,40.29809,39.81822,38.42945,36.76309,40.05945,36.43171
130,NRU,14500,..,..,0.950371773207882,10678,..,5.87716007232666,0,..,100,7.4968,7.57982,7.4037,7.37316,7.1829,7.27544,7.33435,7.44854,7.59188,7.40486
131,NZL,41650,47.66823490809418,81.85853658536587,1.79124016759035,4900600,..,6.04850006103516,13.462000000000003,..,86.538,9.34902,8.54013,7.67365,7.50781,7.19456,6.93597,6.90511,7.14232,7.44725,8.60929
132,OMN,16370,12.592959246876005,77.633,3.44516591013401,4829476,..,5.20723009109497,15.460999999999999,86.25355,84.539,35.53593,35.90277,36.9132,36.20723,34.69059,35.84203,35.53841,35.99423,36.67529,34.88286
133,PAK,1670,20.571737592605196,67.114,2.05754609472119,212228288,21.9,..,63.334,67.5748,36.666,56.40357,55.33722,56.29123,59.05498,56.2618,55.89503,53.65099,51.97565,56.50438,50.13067
134,PAN,14490,40.17504994240968,78.329,1.69263129326398,4176868,21.4,2.8829300403595,32.291,..,67.709,14.12765,14.78085,14.52209,15.21319,14.51812,14.86951,14.03824,13.38493,12.37203,11.77915
135,PER,6480,45.80038054140012,76.516,1.7182682912873,31989265,20.5,3.71429991722107,22.093000000000004,95.65167,77.907,29.59087,28.47326,29.99227,30.46651,31.47109,30.28824,29.48786,27.75851,28.81163,29.06587
136,PHL,3710,38.70798103444794,71.095,1.39596533979435,106651394,16.7,3.1331000328064,53.093,..,46.907,23.81843,22.13145,23.35276,24.20666,21.54303,22.05308,23.90306,21.62402,21.51733,22.45141
137,PLW,17380,..,..,0.571110174925296,17911,..,6.53000020980835,20.069999999999993,..,79.93,7.22831,7.60687,7.77952,7.77074,7.75975,8.01579,7.58828,7.49994,7.77358,7.82424
138,PNG,2600,48.46670590614795,64.263,1.97474647313459,8606324,..,1.8748300075531,86.831,..,13.169,8.65084,8.27803,8.38956,8.38809,8.38693,8.96576,8.68582,8.8705,8.92571,8.88558
139,POL,14150,44.72733097057791,77.60243902439025,-0.0002001327828384,37974750,15.4,4.61579990386963,39.942,..,60.058,26.32189,27.01823,24.46697,23.36101,23.45474,22.58791,21.34448,21.9609,22.51081,18.82808
140,PRK,..,49.09684987273356,72.095,0.469955192788577,25549606,..,..,38.101,..,61.899,50.40548,55.17787,56.46034,68.48237,60.0937,56.44233,51.03666,50.32324,43.532,41.46032
141,PRT,22060,49.15337199870816,81.32439024390244,-0.160104021146769,10283822,17.2,4.67515993118286,34.789,..,65.211,10.54772,10.67923,9.43022,9.44265,7.8954,8.67534,8.41931,9.03849,7.89586,7.34244
142,PRY,5600,40.61173635719348,74.131,1.2878740141998,6956069,24.2,3.28320002555847,38.415,..,61.585,16.36973,15.8887,15.26003,14.33518,14.08261,13.00169,13.26532,16.35836,12.1112,12.30993
143,PSE,4190,19.797633613545216,73.895,2.5330114844554,4569087,..,5.31887006759644,23.836,94.84281,76.164,29.4186,28.7703,29.45407,29.84821,30.03145,30.4868,30.29228,29.81358,30.51881,30.8191
144,QAT,58830,13.656063401736882,80.1,2.0687541103032,2781682,..,..,0.8649999999999949,94.09431,99.135,64.27163,63.84025,63.83774,61.36537,58.29297,65.9073,61.29524,63.11193,62.6647,59.03746
145,ROU,11430,43.069337038078906,75.35853658536587,-0.587493307403584,19473970,23.8,3.34474992752075,46.002,..,53.998,18.05504,18.67849,16.96099,15.95671,15.96018,15.41342,14.84775,15.3241,15.59612,13.30043
146,RUS,10250,48.64953164700797,72.66219512195121,-0.0130668924933287,144477859,12.6,4.67819976806641,25.566999999999993,..,74.433,11.8813,10.52571,10.22086,10.46019,10.79947,9.48913,8.71282,8.38309,9.22426,8.88468
147,RWA,780,51.78251925017603,68.7,2.64406078348327,12301969,..,3.07375001907349,82.789,94.78978,17.211,34.39619,34.80846,35.33117,34.87908,34.9263,34.68945,34.97191,34.7134,34.91829,35.65776
148,SAU,21860,15.76467306853942,74.998,1.8010622175453,33702757,..,7.08581304550171,16.156000000000006,94.5456,83.844,56.55127,56.6517,58.60077,57.09528,52.95536,58.47575,55.75664,58.46789,58.30433,57.15638
149,SDN,1390,30.28563482471693,65.095,2.39225797194196,41801532,..,..,65.358,..,34.642,22.00686,22.61182,22.60951,21.93584,21.39796,22.55149,22.41052,22.73444,21.88573,21.42613
150,SEN,1390,40.13497068799899,67.665,2.78187970760459,15854324,..,4.85822010040283,52.808,..,47.192,36.73364,37.61465,38.97932,36.88208,37.6937,39.90025,38.67131,39.88987,39.07941,38.21284
151,SGP,56670,41.75262615700754,83.29756097560976,0.469704298714121,5638676,..,2.85597991943359,0,..,100,16.89388,16.53947,15.20339,16.58208,16.62945,16.15997,15.48455,14.23202,13.12328,13.33302
152,SLB,2360,48.475980813287514,72.835,2.61108522453765,652856,..,10.8100004196167,76.251,67.47257,23.749,7.41903,7.37153,7.42724,7.54031,7.61513,7.85858,7.75892,7.79642,7.94788,7.8289
153,SLE,490,50.360893826758435,54.309,2.13663626508494,7650149,56.8,6.98963022232056,57.945,..,42.055,36.32017,37.26171,41.09574,37.75351,40.53461,42.52948,40.62177,40.24941,39.46253,39.4217
154,SLV,3820,41.87374719257035,73.096,0.509273429616579,6420740,..,3.60575008392334,27.977000000000004,80.99537,72.023,26.92661,28.312,26.85603,28.60984,27.04093,27.18434,26.44211,24.93845,23.35659,22.15224
155,SMR,..,..,..,0.335038486999643,33784,..,3.55516004562378,2.774000000000001,..,97.226,13.01652,13.43533,12.11762,11.72033,10.99926,11.41735,10.32921,10.55104,10.80798,9.84868
156,SOM,400,31.20048099601012,57.068,2.83192542389384,15008225,..,..,55.029,..,44.971,14.3522,14.47293,14.60625,14.26601,14.25288,14.22371,14.39752,14.49673,14.4512,14.27733
157,SRB,6410,44.099066760145476,75.89024390243902,-0.546351968633598,6982604,23.2,3.58231997489929,43.908,94.55098,56.092,29.42471,30.67586,27.87856,26.16852,26.27462,25.33298,24.24702,24.95485,25.86499,21.73909
158,SSD,..,49.44804989243145,57.604,0.595340534474696,10975924,..,..,80.385,..,19.615,21.21051,21.82681,21.91677,21.54355,21.23758,22.0609,22.37394,21.63901,21.9397,20.18219
159,STP,1870,35.176616464041615,70.17,1.88756148214117,211032,..,5.23510980606079,27.197000000000003,..,72.803,31.73907,32.57917,33.15825,32.41367,32.11853,33.99913,34.44868,33.6171,33.8403,33.74991
160,SUR,5970,40.786572126475775,71.57,0.957016884778029,575987,..,4.92254018783569,33.94,86.02531,66.06,11.35987,11.12067,11.85823,11.46335,12.23399,12.95795,12.90374,13.30251,12.7537,12.17056
161,SVK,18340,45.310469704772146,77.2658536585366,0.138508159611326,5446771,11.9,3.97256994247437,46.274,..,53.726,21.69566,22.65742,20.27122,19.47218,19.52392,19.04978,17.98092,18.4938,19.07598,15.89146
162,SVN,24640,46.19906738720798,81.3780487804878,0.362584395134764,2073894,12,4.93587017059326,45.459,..,54.541,19.68829,20.54985,18.73253,17.98375,17.91433,17.55293,16.73609,17.08411,17.77099,14.07638
163,SWE,55690,47.702093356294284,82.55853658536586,1.16164515996039,10175214,17.1,7.64084005355835,12.569000000000003,..,87.431,7.51618,7.75897,6.90251,6.61276,6.2991,6.37266,5.87894,5.92993,6.09387,5.95539
164,SWZ,3620,48.20699907679349,59.401,1.014213397419,1136274,..,5.67916011810303,76.201,..,23.799,14.96722,14.71019,14.74831,14.89782,15.05071,14.82998,14.5759,14.77646,14.94766,15.07308
165,SYC,15960,..,72.84146341463415,0.954291917891324,96762,25.3,4.49883985519409,43.309,92.21011,56.691,17.8967,16.78684,17.82111,18.27263,16.23041,16.50973,18.15396,16.36962,16.48274,16.95663
166,SYR,930,18.493848030036702,71.779,-0.884869262656999,16945062,..,..,45.838,..,54.162,25.07604,24.6198,24.69551,24.45901,24.12911,24.75272,24.43168,24.82528,25.1301,25.14079
167,TCD,680,40.72631216750023,53.977,3.02350454795029,15477727,42.3,2.25947999954224,76.941,..,23.059,41.64312,42.20619,43.04271,40.62418,41.04188,44.4972,44.48747,44.35547,42.60818,41.15263
168,TGO,880,48.73798303100945,60.76,2.44590389318048,7889095,..,4.04394006729126,58.298,90.73097,41.702,34.98097,35.81539,35.95685,34.79041,34.92123,38.24957,37.52358,37.25126,36.83061,35.65757
169,THA,6610,45.608685205152184,76.931,0.315406676202042,69428454,9.8,3.05677008628845,50.051,..,49.949,26.36311,24.16447,25.65632,26.61528,23.6639,24.10254,26.42045,23.54318,23.68253,24.63927
170,TJK,1030,37.95360242608292,70.879,2.45355241672442,9100847,27.4,5.55836009979248,72.866,..,27.134,63.40423,71.80428,71.50028,67.16655,63.46351,63.27915,62.72654,59.38627,58.57753,53.64558
171,TKM,6740,41.367685806032625,68.073,1.60634794553413,5850902,..,..,48.407,..,51.593,31.48364,35.85101,35.59832,33.52481,31.92663,31.44058,31.22765,29.49465,29.17182,26.40925
172,TLS,1820,45.5676803277454,69.26,1.96841777174323,1267975,..,6.72747993469238,69.422,92.30953,30.578,20.7535,19.57411,20.7288,21.11583,19.27231,19.42989,21.20142,19.49366,19.65762,20.47387
173,TON,4800,41.608020823291234,70.801,1.16667421428571,103199,..,6.3729100227356,76.869,..,23.131,7.14405,7.05185,7.1031,7.09433,7.20356,7.25668,7.39788,7.38038,7.46988,7.52079
174,TTO,16120,42.25386775421857,73.38,0.416814325359264,1389841,..,3.30403780937195,46.816,..,53.184,9.79285,9.44151,9.97297,9.79067,10.34355,10.94219,10.95355,11.27068,10.71643,10.26482
175,TUN,3760,28.842794377551446,76.505,1.14586285100402,11565203,..,..,31.055000000000007,..,68.945,26.67751,25.54363,25.40391,25.75134,27.01053,26.13071,27.58332,26.13183,27.21906,26.52402
176,TUR,10510,33.08976645582527,77.437,1.49723204842519,82340090,14.4,4.29406976699829,24.857,..,75.143,23.73719,23.27972,22.7553,23.0713,22.85719,22.95707,22.53114,22.88792,23.28703,23.25106
177,TUV,5820,..,..,1.22432661828226,11505,..,..,37.613,..,62.387,6.76436,6.94843,6.86974,6.81201,6.78081,6.94864,6.69649,6.84562,6.93967,6.80654
178,TZA,1030,48.282392554881454,65.015,2.97948065987158,56313444,..,3.69643998146057,66.22399999999999,81.32921,33.776,15.45167,15.32795,15.55412,15.36198,15.34867,15.59429,15.60301,15.19631,15.4112,15.36389
179,UGA,750,49.37279719995632,62.973,3.72516390592513,42729032,..,2.13052010536194,76.226,..,23.774,31.29329,31.4937,32.14039,31.79322,31.42753,31.65182,32.08328,31.27824,31.72916,31.31261
180,UKR,2750,48.09560588140114,71.58268292682928,-0.466425620896808,44622518,..,5.3199200630188,30.647999999999996,..,69.352,17.81272,16.5497,15.61071,15.98508,16.58483,14.66802,13.33379,12.93489,14.23927,13.50727
181,URY,17280,46.117503090858634,77.77,0.367270798048567,3449290,..,4.66279983520508,4.665999999999997,..,95.334,9.18128,9.19783,9.034,9.72178,9.51708,9.90392,9.74647,9.27199,8.81777,8.47571
182,USA,63490,46.19075536256916,78.63902439024392,0.526435395564053,326838199,..,4.91233015060425,17.744,..,82.256,9.28664,9.36109,9.07419,8.75496,8.62258,8.31036,7.54403,7.95602,8.13413,7.17987
183,UZB,2110,39.9879399249022,71.573,1.73698637655233,32956100,..,5.90000009536743,49.522,94.59704,50.478,48.51926,55.09954,54.87665,51.60295,48.70482,48.46156,48.09068,45.48117,44.62058,40.97948
184,VCT,7990,41.22722914669224,72.415,0.349034148811457,110210,..,5.69377994537354,47.802,..,52.198,8.85366,8.74973,9.23302,8.97443,9.55157,10.09276,10.05366,10.49894,9.94237,9.41283
185,VEN,..,37.93617731233396,72.128,-1.76833073456765,28887117,..,..,11.792000000000002,..,88.208,20.66606,20.71004,19.87092,21.0044,19.83872,20.12396,19.64719,18.70915,17.06222,16.21392
186,VNM,3030,47.422655968111755,75.317,0.994310472332801,95545959,6.7,4.16744995117188,64.081,..,35.919,22.36823,20.67487,21.67103,22.62388,20.07941,20.46553,22.37486,20.09941,20.09202,20.8923
187,VUT,3170,43.547789080005806,70.323,2.48242519027756,292675,..,..,74.726,..,25.274,8.08733,8.2336,8.19068,8.31014,8.35515,8.62408,8.6638,8.61743,8.80598,8.42148
188,WSM,4050,34.869773817683345,73.187,0.393373450356795,196128,..,4.53214979171753,81.757,94.41308,18.243,7.40466,7.48468,7.55718,7.63588,7.55472,7.75524,7.61736,7.67308,7.77359,7.77989
189,YEM,910,8.259236507901132,66.096,2.3570444080705,28498683,..,..,63.358,..,36.642,38.82749,41.0284,42.48632,41.02003,38.27183,41.06106,39.90644,41.32087,41.6231,41.60944
190,ZAF,6340,44.904110620302966,63.857,1.36370321600461,57792520,..,5.64401006698608,33.644999999999996,..,66.355,18.69321,18.66777,18.67658,18.81701,18.9779,19.13945,19.07406,19.37741,19.52362,19.74802
191,ZMB,1440,48.225371755145396,63.51,2.91265326328102,17351714,..,4.73974990844727,56.479,..,43.521,17.08674,17.33064,17.55181,17.2438,17.29111,17.4341,17.31679,16.9852,16.98833,16.8967
192,ZWE,1350,51.51278850155254,61.195,1.41038154233327,14438812,..,3.86611008644104,67.791,..,32.209,13.27519,13.26777,13.20859,13.09511,13.12364,13.26748,13.09256,13.15097,13.11527,13.07553
